,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11
40592,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041121,RB780 OptiBuild,PH220080051320,Mouse RB780 OptiBuild,755435,Ms CD90/Ms CD90.1 RB780 HIS51 50ug,755435-Ms CD90/Ms CD90.1 RB780 HIS51 50ug,BDB-755435,$587 ,5,Classified by ML model,bactec vials
40593,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041051,RB670 OptiBuild,PH220080051181,Mouse RB670 OptiBuild,571948,Ms CD8a RB670 53-6.7 25ug,571948-Ms CD8a RB670 53-6.7 25ug,BDB-571948,$584 ,5,Classified by ML model,bactec vials
40594,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022900,Research Core Sirigen,PH220080035100,Sirigen - Immune Function (Flow Cytometry),PH220080041094,Sirigen - Immune Function (Flow Cytometry),PH220080051260,Human - Immune Function (Core Sirigen),567788,Hu CD206 (MMR) BV421 15-2 25Tst,567788-Hu CD206 (MMR) BV421 15-2 25Tst,BDB-567788,$581 ,5,Matched by 2024 Material ID,BACTEC vials
40595,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033900,LSR/Fortessa Options,PH220070041068,LSR/Fortessa Options,PH220070051217,LSR/Fortessa Other Options and Upgrades,65033007,Asy Sheath Tube Filter Ffss LSRf Service,65033007-Asy Sheath Tube Filter Ffss LSRf Service,BDB-65033007,"$1,013 ",2,EXCLUDED: SERVICE,EXCLUDE
40596,BLS,BDB,Biosciences,BDB,Biosciences,2200300,Service,PH220030021550,Technical Support Service,PH220030031900,Service Contract,PH220030041025,Service Contract,PH220030051116,Service Contract Non-product specific,660782,Svc Cont SAPPHIRE 488-100 MP Blue Lsr,660782-Svc Cont SAPPHIRE 488-100 MP Blue Lsr,BDB-660782,"$1,012 ", -   ,EXCLUDED: CONTRACT,EXCLUDE
40597,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022950,Research Non-Core,PH220080035300,Non-Flow Cytometry - Assays,PH220080041099,Non-Flow Cytometry - Assays,PH220080051272,CBA/Array,558457,Hu IL-1b CBA Flex Set Std Lyo 0.2mL,558457-Hu IL-1b CBA Flex Set Std Lyo 0.2mL,BDB-558457,$580 ,5,Matched by 2024 Material ID,BACTEC vials
40598,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035850,Cobalt Blue MTS,PH220080041064,RB705 MTS,PH220080051207,Human RB705 MTS,570712,Hu CD27 RB705 M-T271 25Tst,570712-Hu CD27 RB705 M-T271 25Tst,BDB-570712,$579 ,5,Matched by 2024 Material ID,BACTEC vials
40599,BLS,BDB,Biosciences,BDB,Biosciences,2200500,Clinical Reagents,PH220020023500,Fluids/QC Reagents,PH220020037000,Fluids/QC Reagents,PH220020041149,QC Reagents,PH220020051368,QC CalBRITE Bead IVD,345035,BD Bead Dilution Buffer 25 Tests,345035-BD Bead Dilution Buffer 25 Tests,BDB-345035,$577 ,5,Matched by 2024 Material ID,BACTEC vials
40600,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034750,Non Sirigen - Cell Signal Cancer (Flow Cytometry),PH220080041087,Non Sirigen - Cell Signal Cancer (Flow Cytometry),PH220080051243,Non Sirigen - Human-Cell Signal Cancer (Flow Cytometry),560883,Hu TRA-1-81 Ag FITC TRA-1-81 25Tst,560883-Hu TRA-1-81 Ag FITC TRA-1-81 25Tst,BDB-560883,$568 ,5,Matched by 2024 Material ID,BACTEC vials
40601,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220070035100,Cobalt YG MTS,PH220080041061,RY610 MTS,PH220080051222,Human RY610 MTS,571141,Hu CD16 RY610 3G8 25Tst,571141-Hu CD16 RY610 3G8 25Tst,BDB-571141,$566 ,5,Matched by 2024 Material ID,BACTEC vials
40602,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051247,Mouse - Immune Function (Core Non-Sirigen),568300,Ms CD21/CD35 Alexa 647 7E9 25ug,568300-Ms CD21/CD35 Alexa 647 7E9 25ug,BDB-568300,$566 ,5,Classified by ML model,bactec vials
40603,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121012,Service,PH230600131108,Alaris System Service Parts,PH230600141255,Medley NONCATALOG,PH230600151403,Medley NONCATALOG,49000224,ASSY FRAME SUPPORT LEFT PCU ROHS.,49000224-ASSY FRAME SUPPORT LEFT PCU ROHS.,MMS-49000224,$565 ,5,Matched by 2024 Material ID,Safety Wingset
40604,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220070022900,Research Core Cobalt,PH220080035900,Cobalt Blue OptiBuild,PH220080041121,RB780 OptiBuild,PH220080051321,Other RB780 OptiBuild,755946,Rat CD11b/c RB780 OX-42 50ug,755946-Rat CD11b/c RB780 OX-42 50ug,BDB-755946,$562 ,5,Classified by ML model,bactec vials
40605,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051246,Human - Immune Function (Core Non-Sirigen),568656,Hu KLRG1 Alexa 647 Z7-205.RMAB 25Tst,568656-Hu KLRG1 Alexa 647 Z7-205.RMAB 25Tst,BDB-568656,$560 ,5,Matched by 2024 Material ID,BACTEC vials
40606,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051246,Human - Immune Function (Core Non-Sirigen),562052,Hu KPA PE G20-193 25Tst,562052-Hu KPA PE G20-193 25Tst,BDB-562052,$560 ,5,Matched by 2024 Material ID,BACTEC vials
40607,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051246,Human - Immune Function (Core Non-Sirigen),568990,Hu CD29 Alexa 488 TS2/16 25Tst,568990-Hu CD29 Alexa 488 TS2/16 25Tst,BDB-568990,$557 ,5,Matched by 2024 Material ID,BACTEC vials
40608,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051247,Mouse - Immune Function (Core Non-Sirigen),568577,Ms CD279 (PD-1) Alexa 488 29F.1A12 25ug,568577-Ms CD279 (PD-1) Alexa 488 29F.1A12 25ug,BDB-568577,$556 ,5,Matched by 2024 Material ID,BACTEC vials
40609,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022950,Research Non-Core,PH220080035300,Non-Flow Cytometry - Assays,PH220080041099,Non-Flow Cytometry - Assays,PH220080051271,Biotin,553069,Ms CD25 Biotin 7D4 100ug,553069-Ms CD25 Biotin 7D4 100ug,BDB-553069,$556 ,5,Matched by 2024 Material ID,BACTEC vials
40610,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022850,Research Core Non-Sirigen,PH220080034800,Non Sirigen - Immune Function (Flow Cytometry),PH220080041088,Non Sirigen - Immune Function (Flow Cytometry),PH220080051247,Mouse - Immune Function (Core Non-Sirigen),561941,Ms CD74 FITC IN-1 100ug,561941-Ms CD74 FITC IN-1 100ug,BDB-561941,$555 ,5,Matched by 2024 Material ID,BACTEC vials
