,SEG,BU,Platform,Product Category,Product Line,Product Set
34088,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34097,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD AbSeq,AbSeq - Custom vials
34107,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34109,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34110,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34116,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
34129,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34143,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34148,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB670 MTS
34151,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34152,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34157,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY655 MTS
34169,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34170,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
34172,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34183,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
34186,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34196,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG Support,Antibody Controls
34201,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
34209,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34217,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY743 MTS
34220,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34221,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
34235,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD AbSeq,AbSeq - MTS vials
34237,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
34245,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34250,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB613 MTS
34251,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
34253,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB545 OptiBuild
34256,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34257,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34258,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
34262,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34263,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34266,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY743 MTS
34270,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34274,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
34283,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
34297,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34306,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34312,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34318,BDI,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Glidepath Slim
34326,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34332,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
34333,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34344,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34352,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34353,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
34357,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34360,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34368,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
34379,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Cell Signal Cancer (Flow Cytometry),Non Sirigen - Cell Signal Cancer (Flow Cytometry)
34382,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
34386,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB670 MTS
34388,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34389,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
34390,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34402,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34408,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34415,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
34416,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
34428,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
34432,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
34460,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34468,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
34481,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
34487,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
34504,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34514,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Support (Flow Cytometry),Non Sirigen - Support (Flow Cytometry)
34525,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34541,BDI,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse RX
34542,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
34553,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB705 MTS
34560,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB705 MTS
34572,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
34575,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
34607,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
34615,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB613 MTS
34628,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
34634,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Cell Signal Cancer (Flow Cytometry),Non Sirigen - Cell Signal Cancer (Flow Cytometry)
34638,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
34639,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB670 MTS
34644,BDI,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Hickman
34649,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
34650,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
34659,BDI,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard)
34660,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
34663,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB670 MTS
34669,BDM,MMS,CME,POC Systems,CME Accessories,Infusion Accessories CME
34673,BDI,UCC,Endourology,Stone Disposables,Dilation Products,Straight Filform
34675,BDI,UCC,Endourology,Stone Disposables,Dilation Products,Coude Filiform
34683,BDI,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard)
34684,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley NONCATALOG
34685,BDI,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard)
34686,BDM,MMS,CME,POC Systems,CME Accessories,Infusion Accessories CME
34689,BDM,MMS,BD Nexus,BD Nexus - PC Adjustment,BD Nexus - PC Adjustment,BD Nexus - PC Adjustment
34691,BDM,MMS,BD Nexus,Service,BD Nexus Service Parts,Directions for Use (DFU)
34697,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research)
34698,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research)
34704,BLS,DS,Cancer,Cytology,All Other Instruments,FocalPoint Instrument Accessories
34705,BLS,DS,Cancer,Cytology,All Other Instruments,FocalPoint Instrument Accessories
34706,BLS,DS,Cancer,Cytology,All Other Instruments,FocalPoint Instrument Accessories
34727,BLS,BDB,Research Reagents,Custom Research Reagents,Sirigen - Customs,Sirigen - Customs
34730,BDM,MMS,Alaris System,POC Systems,Alaris System PCA Pump,Drug Infusion
34735,BLS,DS,Informatics,Informatics,Other Informatics,DMS (Japan)
34738,BLS,DS,Microbiology,Industrial Microbiology,DCM,Water Media
34740,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Cell Signal Cancer (Flow Cytometry),Non Sirigen - Cell Signal Cancer (Flow Cytometry)
34755,BLS,BDB,Clinical Reagents,Cancer Reagents,Sirigen - Cancer Rgt,Sirigen - CAN Single Color Rgt
34756,BLS,BDB,Clinical Reagents,Cancer Reagents,Sirigen - Cancer Rgt,Sirigen - CAN Single Color Rgt
34757,BLS,BDB,Clinical Reagents,Cancer Reagents,Cancer,CAN Single Color
34759,BDI,PI,Peripheral Vascular Disease,Peripheral Grafts,PV Grafts,Carboflo
34772,BDI,PI,Peripheral Vascular Disease,Drug Coated Balloons PVD,Lutonix,Lutonix BTK
34777,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34781,BLS,BDB,Clinical Reagents,Cancer Reagents,Cancer,CAN Single Color
34782,BLS,BDB,Clinical Reagents,Cancer Reagents,Cancer,CAN Single Color
34794,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34798,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34804,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34824,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB780 MTS
34825,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34829,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34839,BDI,PI,Peripheral Vascular Disease,Stents PVD,Lifestent,Lifestent
34847,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34908,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
34914,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34921,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
34924,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34939,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34943,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34965,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
34970,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
34984,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
34988,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
34992,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
34993,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
34994,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
34995,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
35002,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35007,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35012,BLS,BDB,Clinical Reagents,Cancer Reagents,Cancer,CAN Single Color
35022,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35034,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35035,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35036,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35046,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35063,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35080,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35087,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35093,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
35094,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
35097,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
35099,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35100,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35103,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35105,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35107,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35115,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
35119,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35133,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
35141,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB545 OptiBuild
35150,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35152,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
35155,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
35158,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
35163,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35166,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35168,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
35180,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
35182,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY655 MTS
35183,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35184,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35188,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35194,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35199,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35209,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35210,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
35222,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35223,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35229,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35234,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35236,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35239,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35242,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35250,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35252,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB545 MTS
35264,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY743 MTS
35265,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35267,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35277,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35279,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
35281,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB705 MTS
35283,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue Support,Antibody Controls
35287,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35290,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35301,BLS,BDB,Research Reagents,Research Non-Core,Non-Flow Cytometry - Assays,Non-Flow Cytometry - Assays
35305,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35313,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35316,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35328,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY655 MTS
35337,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35338,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35339,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35342,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35372,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
35375,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35388,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35391,BDI,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard)
35398,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35400,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
35401,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35405,BDI,PI,Oncology,Ports,Ports,Non-Power Ports
35408,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35412,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
35413,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35421,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35424,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
35432,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
35440,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
35444,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35445,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35451,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
35462,BDI,UCC,Endourology,Stone Disposables,Dilation Products,Spiral Filiform
35469,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue Support,Antibody Controls
35478,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35494,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35507,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
35520,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35521,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35529,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35538,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35543,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35551,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35557,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
35558,BLS,BDB,Research Reagents,Research Non-Core,Non-Flow Cytometry - Assays,Non-Flow Cytometry - Assays
35560,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
35575,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB670 MTS
35589,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
35608,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
35609,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35618,BLS,DS,Molecular Diagnostics,BD MAX,All Other BD MAX,MAX Instrument Other
35619,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35626,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY775 MTS
35627,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
35634,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
35635,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
35636,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
35645,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
35648,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY703 MTS
35661,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
35675,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
35676,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB613 MTS
35678,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY610 MTS
35680,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
35681,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
