,SEG,BU,Platform,Product Category,Product Line,Product Set
45520,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
45521,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45522,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45523,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Red MTS,RR688 MTS
45524,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45526,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
45528,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45532,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45535,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB545 OptiBuild
45537,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45538,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
45539,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45540,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45541,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45543,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45545,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG Support,Antibody Controls
45546,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45548,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45554,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
45558,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45563,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45564,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45565,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45570,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45571,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45572,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45573,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45574,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45575,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
45576,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45577,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45578,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45584,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45585,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45588,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45589,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
45590,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45591,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45593,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45594,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45595,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45596,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
45597,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45598,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
45599,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45600,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45604,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY586 MTS
45605,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
45608,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45609,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45611,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45615,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
45619,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45620,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45621,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45622,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45628,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45629,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45632,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY655 MTS
45633,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45639,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45640,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
