,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
24118,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446945,BD KIESTRA Standard connector,446945-BD KIESTRA Standard connector,DS-446945,"$106,027 ",47,Matched by Material ID,bactec fx machine
24227,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435700,BACTEC FX Instr - Plcmt,PH211100441243,BACTEC FX Inst Place,PH211100451421,BACTEC FX Inst Place,441627,LEASE INSTRUMENT TOP BACTEC FX PACKAGED,441627-LEASE INSTRUMENT TOP BACTEC FX PACKAGED,DS-441627,"$3,010,592 ",46,Matched by Material ID,bactec fx machine
24687,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446081,"Kit, Starter and Installation, InoqulA","446081-Kit, Starter and Installation, InoqulA",DS-446081,"$11,312 ",43,Matched by Material ID,bactec fx machine
27240,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436350,Phoenix 100 Instr - Plcmt,PH211100441285,Phoenix 100 Placements,PH211100451514,Phoenix 100 Placemen,430207,LEASE - ALQPHOENIX,430207-LEASE - ALQPHOENIX,DS-430207,"$72,584 ",29,Matched by Material ID,bactec fx machine
27884,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435750,BACTEC FX 40 Instr - Plcmt,PH211100441244,BACTECFX40 Inst Plmt,PH211100451423,BACTECFX40 Inst Plmt,440154,FX40 LEASING,440154-FX40 LEASING,DS-440154,"$25,465 ",26,Matched by Material ID,bactec fx machine
28148,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,496021,BD Kiestra ErgonomicA Connection Panel,496021-BD Kiestra ErgonomicA Connection Panel,DS-496021,$3 ,26,Matched by Material ID,bactec fx machine
28463,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446947,BD Kiestra Stacker,446947-BD Kiestra Stacker,DS-446947,"$105,166 ",24,Matched by Material ID,bactec fx machine
28734,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421450,TB,PH211100435200,BACTEC MGIT 960 Instr - Plcmt,PH211100441215,BACTEC MGIT 960 -Place,PH211100451368,BACTEC MGIT 960 -Pla,252098,Bactec MGIT 960 Lease,252098-Bactec MGIT 960 Lease,DS-252098,"$140,020 ",23,Matched by Material ID,bactec fx machine
28991,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421450,TB,PH211100435350,BACTEC MGIT 320 Instr - Plcmt,PH211100441218,BACTEC MGIT 320 - Plac,PH211100451373,BACTEC MGIT320 -Plac,285022,MGIT 320 Instrument Placements,285022-MGIT 320 Instrument Placements,DS-285022,"$78,569 ",22,Matched by Material ID,bactec fx machine
29303,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,496034,Cable Set Digital Reading Workstation,496034-Cable Set Digital Reading Workstation,DS-496034,$3 ,22,Matched by Material ID,bactec fx machine
29304,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,496063,Cabinet - 3 Drawer,496063-Cabinet - 3 Drawer,DS-496063,$2 ,22,Matched by Material ID,bactec fx machine
33129,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446958,BD Kiestra BarcodA Track,446958-BD Kiestra BarcodA Track,DS-446958,"$381,374 ",12,Matched by Material ID,bactec fx machine
33132,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446971,BD Kiestra Auto Slide Processing Module,446971-BD Kiestra Auto Slide Processing Module,DS-446971,"$187,094 ",12,Matched by Material ID,bactec fx machine
33701,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,496023,BD Kiestra Pow-Strip Reg. DE/ES/NL/SE/RU,496023-BD Kiestra Pow-Strip Reg. DE/ES/NL/SE/RU,DS-496023,$1 ,12,Matched by Material ID,bactec fx machine
33772,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,447206,BD Kiestra ReadA Compact,447206-BD Kiestra ReadA Compact,DS-447206,"$2,946,155 ",11,Matched by Material ID,bactec fx machine
33773,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446972,BD Kiestra InoqulA Track,446972-BD Kiestra InoqulA Track,DS-446972,"$2,451,286 ",11,Matched by Material ID,bactec fx machine
33779,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446949,BD Kiestra System Control Unit V2,446949-BD Kiestra System Control Unit V2,DS-446949,"$552,680 ",11,Matched by Material ID,bactec fx machine
34422,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022650,FACSymphony Sorters,PH220070033300,FACSymphony S6,PH220070041055,FACSymphony S6,PH220070051200,FACSymphony S6,662937,FACSymphony S6 Special Order System,662937-FACSymphony S6 Special Order System,BDB-662937,"$5,666,424 ",10,Matched by Material ID,bactec fx machine
34435,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446943,BD Kiestra Destacker,446943-BD Kiestra Destacker,DS-446943,"$57,855 ",10,Matched by Material ID,bactec fx machine
35345,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435700,BACTEC FX Instr - Plcmt,PH211100441243,BACTEC FX Inst Place,PH211100451421,BACTEC FX Inst Place,440205,FX200 Bottom LEASING,440205-FX200 Bottom LEASING,DS-440205,"$10,666 ",9,Matched by Material ID,bactec fx machine
37072,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446094,BD Kiestra ErgonomicA connector L,446094-BD Kiestra ErgonomicA connector L,DS-446094,$67 ,8,Matched by Material ID,bactec fx machine
37073,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446093,BD Kiestra ErgonomicA connector R,446093-BD Kiestra ErgonomicA connector R,DS-446093,$66 ,8,Matched by Material ID,bactec fx machine
37116,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,444060,BD Kiestra IdentifA Manual Infeed,444060-BD Kiestra IdentifA Manual Infeed,DS-444060,"$13,884 ",7,Matched by Material ID,bactec fx machine
39323,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,WCA-DISPLAY-ZHR,WCA-DISPLAY,WCA-DISPLAY-ZHR-WCA-DISPLAY,DS-WCA-DISPLAY-ZHR, $-   ,6,Matched by Material ID,bactec fx machine
39347,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435700,BACTEC FX Instr - Plcmt,PH211100441243,BACTEC FX Inst Place,PH211100451421,BACTEC FX Inst Place,440153,FX200 Top LEASING,440153-FX200 Top LEASING,DS-440153,"$123,073 ",5,Matched by Material ID,bactec fx machine
39349,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,*RM7274,InoqulA+ Accessories,*RM7274-InoqulA+ Accessories,DS-*RM7274,"$100,030 ",5,Matched by Material ID,bactec fx machine
39354,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435600,BACTEC FX Instr - Sale,PH211100441371,BACTEC FX Bottom Inst Sales,PH211100451665,BACTEC FX Bottom Inst Sale,44138609,Instr Bottom Bactec Fx Pkged Repaired,44138609-Instr Bottom Bactec Fx Pkged Repaired,DS-44138609,"$46,586 ",5,Matched by Material ID,bactec fx machine
39378,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446675,Upgrade Kit SCU For WCA,446675-Upgrade Kit SCU For WCA,DS-446675,"$7,331 ",5,Matched by Material ID,bactec fx machine
40650,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435400,BACTEC 9000 Instr - Sale,PH211100441221,BACTEC 9050 Inst - Sales,PH211100451379,BACTEC 9050 Inst - S,445800,Instrument Bactec 9050,445800-Instrument Bactec 9050,DS-445800,$477 ,5,Matched by Material ID,bactec fx machine
40732,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,496018,BD Kiestra ErgonomicA Integrated L1700,496018-BD Kiestra ErgonomicA Integrated L1700,DS-496018,$12 ,5,Matched by Material ID,bactec fx machine
