,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
19,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
54,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
60,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
65,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
104,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
133,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
147,BDM,MDS,Hypodermic Products,Safety Hypodermic Products,Blunt Fill Needle / Combo,SYR W BFN LARGE BORE,Plastipak,safety wingset,0.8
155,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
163,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
192,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
195,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
201,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
261,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
287,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
341,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
348,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
351,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
353,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
355,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
363,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
391,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle,Hypak for Vaccine,hypak for antico,0.43
410,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
428,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer,Hypak for Vaccine,hypak for antico,0.54
443,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
452,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
473,BDM,PS,Prefillable Systems,Component,Accuspray,Dose Divider,Plastipak,vacutainer tubes,0.42
478,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
483,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
508,BDM,MDS,Hypodermic Products,Safety Hypodermic Products,Blunt Fill Needle / Combo,SYR W BFN LARGE BORE,Plastipak,safety wingset,0.8
511,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
531,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
550,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
557,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,Bulk Luer,Hypak for Vaccine,hypak for antico,0.57
558,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
565,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
589,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
618,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
645,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
648,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
655,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
670,BDI,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Brushes,Plastipak,chloraprep,0.79
705,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
720,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,PosiFlush Safescrub,Posiflush - SafeScrub,Chloraprep,plastipak,0.46
755,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
757,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
796,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
801,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,BSCF/BCF/BCA Visio.,Hypak for Antico,vacutainer tubes,0.93
812,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
823,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
835,BDI,UCC,Total Acute Urology,Urological Drainage,Other Urology,Catheter Plugs/Misc,Chloraprep,purewick canister & tubing,0.39
891,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
893,BDM,PS,Prefillable Systems,Glass Container,Accuspray,SCF Luer,Plastipak,hypak for antico,0.66
896,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
906,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
934,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
988,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
1008,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1055,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
1082,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer,Hypak for Vaccine,hypak for antico,0.54
1124,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,Bulk Luer,Hypak for Vaccine,hypak for antico,0.57
1168,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
1178,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
1213,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
1214,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
1220,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1264,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1291,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
1315,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
1317,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle,Hypak for Vaccine,hypak for antico,0.43
1327,BDM,MDS,Gravity and Syringe Delivery,GSD Secondary Sets,GSD Secondary Sets - Basic,General,Safety Wingset,vacutainer tubes,1.0
1349,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
1395,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1414,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,PLUGGO,Veritor Assays,veritor device,0.39
1467,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
1492,BDI,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,Purewick catheter,chloraprep,0.59
1561,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1562,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1583,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
1637,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1694,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1699,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,PLUGGO,Veritor Assays,veritor device,0.39
1702,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
1709,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
1723,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
1827,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
1828,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer,Hypak for Vaccine,hypak for antico,0.54
1839,BDI,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,Purewick catheter,chloraprep,0.59
1956,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
1973,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
1984,BDI,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,Purewick catheter,chloraprep,0.59
2001,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2003,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
2006,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
2015,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
2049,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
2110,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2146,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
2168,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
2184,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
2270,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
2295,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Vacutainer tubes,veritor device,0.59
2339,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
2392,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2460,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
2476,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF PremiumCoat Visio,Veritor Assays,vacutainer tubes,0.97
2538,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2551,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2553,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
2554,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2560,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2562,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2565,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
2569,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2603,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2649,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2852,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
2867,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2891,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
2954,BDM,MMS,Alaris System,IV Pump Delivery,Alaris System PCA Sets,Extension (PCA/SYP),Plastipak,safety wingset,0.98
2963,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3057,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3200,BDM,MDS,IPD OEM,GSD OEM,GSD OEM SmarSite Bag,SmartSite Bag,Vacutainer tubes,plastipak,0.43
3216,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3225,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
3301,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
3333,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3346,BDM,PS,SAIS,Stopper,Wearable Libertas,SCF Stopper,Hypak for Antico,safety wingset,0.43
3412,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3465,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3492,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Vacutainer tubes,veritor device,0.59
3504,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
3510,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
3582,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
3619,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3636,BLS,SM,Specimen Acquisition,ABG,ABG Safety,ABG Safety,Safety Wingset,plastipak,0.55
3680,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3706,BDM,PS,SAIS,Glass Container,Wearable Libertas,SCF barrel Subassembly,Vacutainer tubes,hypak for antico,0.3
3736,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Plastipak,safety wingset,0.94
3815,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
3844,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,IC-XT,Vacutainer tubes,bactec vials,0.44
3903,BDM,MDS,IPD OEM,GSD OEM,GSD OEM SmarSite Bag,SmartSite Bag,Vacutainer tubes,plastipak,0.43
3923,BDM,MDS,IPD OEM,GSD OEM,GSD OEM SmarSite Bag,SmartSite Bag,Vacutainer tubes,plastipak,0.43
3933,BDI,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,Purewick catheter,purewick canister & tubing,0.54
3946,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
4002,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
4129,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Plastipak,safety wingset,0.94
4175,BDM,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Infectious Waste Collectors,Patient Room Products,Safety Wingset,purewick canister & tubing,0.94
4278,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,BACTEC vials,powerport,0.6
4339,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.69
4354,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4370,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Plastipak,safety wingset,0.94
4415,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Plastipak,safety wingset,0.94
4417,BLS,SM,Specimen Acquisition,ABG,ABG Safety,ABG Safety,Safety Wingset,plastipak,0.55
4419,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4457,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,BACTEC vials,powerport,0.6
4512,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
4545,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
4556,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4576,BDM,MMS,IV Solutions,IV Solutions,FreeFlex,Sterile Water,Veritor Assays,chloraprep,0.49
4593,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose GSV Catheter,BACTEC vials,safety wingset,0.45
4599,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4656,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
4696,BDM,MDS,IV Access,IVA SmartSite,IVA Extension Sets - SmartSite,SmartSite,Safety Wingset,vacutainer tubes,0.93
4703,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
4706,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
4790,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4815,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Purewick catheter,safety wingset,0.23
4883,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4955,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
4956,BLS,SM,Lab Specimen Management,Tubes - Other,Other Tubes & Kits,Veterinary Kits,Vacutainer tubes,hypak for vaccine,0.66
4957,BDI,UCC,Total Acute Urology,Urological Drainage,Other Urine Collection Devices,W/O Cath W/UM Bag,Purewick catheter,purewick canister & tubing,0.82
4975,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5046,BDM,MMS,Alaris System,POC Systems,Alaris System PC Unit License,Guardrails,Pyxis,purewick device,0.56
5059,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
5092,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5203,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
5266,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5308,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
5371,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5413,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5419,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
5440,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
5449,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose GSV Catheter,Purewick device,safety wingset,0.45
5470,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5474,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5514,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Accessories,Purewick canister & tubing,powerport,0.33
5529,BDI,SUR,Hernia,Groin Hernia,Plugs,Plugs,Veritor Assays,powerport,0.87
5623,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5690,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5695,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5737,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
5747,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
5767,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
5794,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
5895,BDI,SUR,Hernia,Groin Hernia,Plugs,Plugs,Veritor Assays,powerport,0.87
5900,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6008,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6009,BDI,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Brushes,Plastipak,chloraprep,0.79
6028,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
6041,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Purewick catheter,safety wingset,0.23
6070,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Vacutainer tubes,safety wingset,0.23
6186,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6187,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6212,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Plastipak,safety wingset,0.94
6283,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6288,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Purewick catheter,safety wingset,0.23
6309,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Purewick catheter,safety wingset,0.23
6411,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6468,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6488,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
6491,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
6510,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6534,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Purewick catheter,safety wingset,0.23
6540,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6569,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Vacutainer tubes,safety wingset,0.23
