,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
53088,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
53127,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
53171,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
53189,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
53204,BDI,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,Purewick catheter,chloraprep,0.59
53213,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
53227,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
53257,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
53261,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
53274,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
53294,BLS,BDB,Clinical Reagents,Cytognos Reagents,Cytognos Other Reagents,Cytognos THIRD-PARTY REAGENTS,Chloraprep,bactec vials,0.61
53302,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53316,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
53339,BDI,PI,Peripheral Vascular Disease,Venous,Venclose Captial,Venclose Capital,Pyxis,safety wingset,0.38
53362,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Others,Temp Management,Pyxis,plastipak,0.58
53434,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
53444,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53489,BDM,MDS,Hazardous Drug Solutions,Facilimix,Facilimix,Facilimix,Safety Wingset,purewick canister & tubing,0.39
53550,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
53567,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
53573,BDM,MMS,Alaris Plus,POC Systems,Alaris Plus TIVA Pump,TIVA,Pyxis,purewick device,0.88
53578,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53642,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53652,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Others,Temp Management,Pyxis,plastipak,0.58
53678,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
53684,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
