,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
24621,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031800,PrepMate Instr - Plcmt,PH211800041011,PrepMate Placement,PH211800051020,PrepMate Placement,285047,PrepMate Instrument Placements,285047-PrepMate Instrument Placements,DS-285047,"($52,991)",44,Matched by Material ID,pyxis
24623,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100435900,BioTyper Instr - Sale,PH211100441247,BioTyper Sales,PH211100451429,LT MALDI-TOF Sales,1890117,BD-MALDI Biotyper sirius IVD,1890117-BD-MALDI Biotyper sirius IVD,DS-1890117,"$7,600,206 ",43,Matched by Material ID,pyxis
24703,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436650,Other Informatics,PH211100441296,DMS (Japan),PH211100451534,DMS (Japan),252058,SCANNER DMS BARCODE JAPAN,252058-SCANNER DMS BARCODE JAPAN,DS-252058,"$9,579 ",43,Classified by ML model,pyxis
24748,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022850,FACSDiscover A8,PH220070034550,FACSDiscover A8 Instrument,PH220070041124,FACSDiscover A8 Instrument,PH220070051289,FACSDiscover A8 Instrument,666486,FACSDiscover A8 BRVYGUV 5L,666486-FACSDiscover A8 BRVYGUV 5L,BDB-666486,"$16,521,460 ",42,Classified by ML model,pyxis
24906,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051342,FACSLyric Instrument - 10 Color,659180,FACSLyric 3L10C Instrument,659180-FACSLyric 3L10C Instrument,BDB-659180,"$3,935,336 ",41,Matched by Material ID,pyxis
24997,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023250,FACSCount,PH220020036100,FACSCount Options,PH220020041129,FACSCount Options,PH220020051332,FACSCount Other Options and Upgrades,660331,Synergy SIII 2kVA on-line UPS,660331-Synergy SIII 2kVA on-line UPS,BDB-660331,"$6,940 ",41,Matched by Material ID,pyxis
25002,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,XSQ-ZTJ,Epicenter monitor,XSQ-ZTJ-Epicenter monitor,DS-XSQ-ZTJ,"$6,087 ",41,Classified by ML model,pyxis
25022,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,665774,FACSDiscover Bio-Safety Cabinet INT,665774-FACSDiscover Bio-Safety Cabinet INT,BDB-665774,"$1,045,096 ",40,Matched by Material ID,pyxis
25036,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022400,INFLUX,PH220070033500,Influx Options,PH220070041059,Influx Options,PH220070051205,INFLUX Other Options and Upgrades,645376,Cleaner Nozzle Tip 220V 50Hz Ultrasonic,645376-Cleaner Nozzle Tip 220V 50Hz Ultrasonic,BDB-645376,"$21,658 ",40,Matched by Material ID,pyxis
25288,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070034500,FACSymphony A1 Instrument,PH220070041088,FACSymphony A1 Instrument,PH220070051249,FACSymphony A1 Instrument,664895,FACSSymphony A1 2B3R5YG6V SPD,664895-FACSSymphony A1 2B3R5YG6V SPD,BDB-664895,"$5,800,119 ",39,Matched by Material ID,pyxis
